date,user,message,topic_id
2024-03-12 21:41:00,Alice,"Hey Bob, are you joining the product review tonight?",0
2024-03-12 21:42:00,Bob,"@Alice haan, give me 10 mins.",0
2024-03-12 21:43:00,Charlie,"Nice, I will join too.",3
2024-03-12 21:45:00,Alice,"Great, the demo looked amazing today.",0
2024-03-12 21:46:00,Bob,"The deploy was messy though, logs were terrible.",0
2024-03-12 21:47:00,Dana,"I saw the same, monitoring was noisy.",0
2024-03-12 21:47:00,Dana,Sharing the draft here https://example.com/review-notes,0
2024-03-12 21:48:00,Charlie,Let's fix it tomorrow morning.,1
2024-03-12 21:51:00,Alice,"fair point, but the UX feedback was very positive.",2
2024-03-12 21:53:00,Bob,"true, users liked the new flow.",0
2024-03-13 08:10:00,Dana,"Morning all, who is free for the hotfix?",1
2024-03-13 08:12:00,Alice,I can take frontend changes.,0
2024-03-13 08:13:00,Bob,I will handle deployment scripts.,0
2024-03-13 08:14:00,Charlie,I can validate the API once ready.,0
2024-03-13 08:20:00,Dana,"perfect, sharing the checklist now.",0
2024-03-13 08:22:00,Bob,build is green locally.,1
2024-03-13 08:24:00,Alice,design tweaks are done.,0
2024-03-13 08:25:00,Charlie,API looks stable on my side.,0
2024-03-13 08:29:00,Dana,nice work team.,3
2024-03-13 22:05:00,Alice,"New topic, anyone free for breakfast tomorrow?",1
2024-03-13 22:06:00,Charlie,"yes, sounds good.",0
2024-03-13 22:06:00,Bob,@Charlie count me in.,0
2024-03-13 22:07:00,Dana,I am in if we keep it early.,0
2024-03-14 11:00:00,Alice,client feedback came in.,2
2024-03-14 11:01:00,Bob,mostly positive?,2
2024-03-14 11:02:00,Alice,"yes, they loved the dashboard.",0
2024-03-14 11:03:00,Dana,any critical issues left?,0
2024-03-14 11:05:00,Alice,one comment about slow filters.,0
2024-03-14 11:06:00,Bob,"hmm, that part still feels heavy.",0
2024-03-14 11:07:00,Charlie,we should profile the query path.,0
2024-03-14 11:09:00,Dana,"agreed, let's capture metrics before changing code.",0
