date,user,message,only_date,year,month_num,month,day,day_name,hour,minute,period,clean_message,sentiment,score,sentiment_score
2024-03-12 21:41:00,Alice,"Hey Bob, are you joining the product review tonight?",2024-03-12,2024,3,March,12,Tuesday,21,41,21-22,"Hey Bob, are you joining the product review tonight?",Neutral,0.8338,0
2024-03-12 21:42:00,Bob,"@Alice haan, give me 10 mins.",2024-03-12,2024,3,March,12,Tuesday,21,42,21-22,"@Alice haan, give me 10 mins.",Neutral,0.8058,0
2024-03-12 21:43:00,Charlie,"Nice, I will join too.",2024-03-12,2024,3,March,12,Tuesday,21,43,21-22,"Nice, I will join too.",Positive,0.7206,1
2024-03-12 21:45:00,Alice,"Great, the demo looked amazing today.",2024-03-12,2024,3,March,12,Tuesday,21,45,21-22,"Great, the demo looked amazing today.",Positive,0.5364,1
2024-03-12 21:46:00,Bob,"The deploy was messy though, logs were terrible.",2024-03-12,2024,3,March,12,Tuesday,21,46,21-22,"The deploy was messy though, logs were terrible.",Negative,0.4998,-1
2024-03-12 21:47:00,Dana,"I saw the same, monitoring was noisy.",2024-03-12,2024,3,March,12,Tuesday,21,47,21-22,"I saw the same, monitoring was noisy.",Negative,0.8036,-1
2024-03-12 21:48:00,Charlie,Let's fix it tomorrow morning.,2024-03-12,2024,3,March,12,Tuesday,21,48,21-22,Let's fix it tomorrow morning.,Neutral,0.4212,0
2024-03-12 21:51:00,Alice,"fair point, but the UX feedback was very positive.",2024-03-12,2024,3,March,12,Tuesday,21,51,21-22,"fair point, but the UX feedback was very positive.",Positive,0.5,1
2024-03-12 21:53:00,Bob,"true, users liked the new flow.",2024-03-12,2024,3,March,12,Tuesday,21,53,21-22,"true, users liked the new flow.",Positive,0.7212,1
2024-03-13 08:10:00,Dana,"Morning all, who is free for the hotfix?",2024-03-13,2024,3,March,13,Wednesday,8,10,08-09,"Morning all, who is free for the hotfix?",Negative,0.3968,-1
2024-03-13 08:12:00,Alice,I can take frontend changes.,2024-03-13,2024,3,March,13,Wednesday,8,12,08-09,I can take frontend changes.,Negative,0.7215,-1
2024-03-13 08:13:00,Bob,I will handle deployment scripts.,2024-03-13,2024,3,March,13,Wednesday,8,13,08-09,I will handle deployment scripts.,Positive,0.5339,1
2024-03-13 08:14:00,Charlie,I can validate the API once ready.,2024-03-13,2024,3,March,13,Wednesday,8,14,08-09,I can validate the API once ready.,Neutral,0.9153,0
2024-03-13 08:20:00,Dana,"perfect, sharing the checklist now.",2024-03-13,2024,3,March,13,Wednesday,8,20,08-09,"perfect, sharing the checklist now.",Positive,0.7059,1
2024-03-13 08:22:00,Bob,build is green locally.,2024-03-13,2024,3,March,13,Wednesday,8,22,08-09,build is green locally.,Positive,0.8465,1
2024-03-13 08:24:00,Alice,design tweaks are done.,2024-03-13,2024,3,March,13,Wednesday,8,24,08-09,design tweaks are done.,Neutral,0.9136,0
2024-03-13 08:25:00,Charlie,API looks stable on my side.,2024-03-13,2024,3,March,13,Wednesday,8,25,08-09,API looks stable on my side.,Negative,0.4347,-1
2024-03-13 08:29:00,Dana,nice work team.,2024-03-13,2024,3,March,13,Wednesday,8,29,08-09,nice work team.,Positive,0.9375,1
2024-03-13 22:05:00,Alice,"New topic, anyone free for breakfast tomorrow?",2024-03-13,2024,3,March,13,Wednesday,22,5,22-23,"New topic, anyone free for breakfast tomorrow?",Neutral,0.5788,0
2024-03-13 22:06:00,Charlie,"yes, sounds good.",2024-03-13,2024,3,March,13,Wednesday,22,6,22-23,"yes, sounds good.",Positive,0.9127,1
2024-03-13 22:06:00,Bob,@Charlie count me in.,2024-03-13,2024,3,March,13,Wednesday,22,6,22-23,@Charlie count me in.,Neutral,0.6415,0
2024-03-13 22:07:00,Dana,I am in if we keep it early.,2024-03-13,2024,3,March,13,Wednesday,22,7,22-23,I am in if we keep it early.,Neutral,0.6803,0
2024-03-14 11:00:00,Alice,client feedback came in.,2024-03-14,2024,3,March,14,Thursday,11,0,11-12,client feedback came in.,Positive,0.5741,1
2024-03-14 11:01:00,Bob,mostly positive?,2024-03-14,2024,3,March,14,Thursday,11,1,11-12,mostly positive?,Neutral,0.4953,0
2024-03-14 11:02:00,Alice,"yes, they loved the dashboard.",2024-03-14,2024,3,March,14,Thursday,11,2,11-12,"yes, they loved the dashboard.",Positive,0.8297,1
2024-03-14 11:03:00,Dana,any critical issues left?,2024-03-14,2024,3,March,14,Thursday,11,3,11-12,any critical issues left?,Neutral,0.9065,0
2024-03-14 11:05:00,Alice,one comment about slow filters.,2024-03-14,2024,3,March,14,Thursday,11,5,11-12,one comment about slow filters.,Neutral,0.5407,0
2024-03-14 11:06:00,Bob,"hmm, that part still feels heavy.",2024-03-14,2024,3,March,14,Thursday,11,6,11-12,"hmm, that part still feels heavy.",Negative,0.8591,-1
2024-03-14 11:07:00,Charlie,we should profile the query path.,2024-03-14,2024,3,March,14,Thursday,11,7,11-12,we should profile the query path.,Neutral,0.9024,0
2024-03-14 11:09:00,Dana,"agreed, let's capture metrics before changing code.",2024-03-14,2024,3,March,14,Thursday,11,9,11-12,"agreed, let's capture metrics before changing code.",Neutral,0.8068,0
